HEX,L*,a*,b*
#ffffff,100.0,-0.0024549378621063767,0.004653421154054982
#000000,0.0,0.0,0.0
#d3d3d3,84.5561167363605,-0.0021280949847879427,0.004033878972320437
#b5b5b5,73.68010466135593,-0.0018979231414806286,0.0035975801390586426
#9096a4,62.01658046552011,0.7413699734662993,-8.069322720951376
#4c4c4c,32.31860431814967,-0.0010225790619267094,0.0019383346161028214
#272564,18.688997941608967,21.411974442138327,-37.054238356343916
#2234c7,31.619022032229523,46.909762924262246,-76.89893388103314
#2413b9,24.771899662862168,58.027474023439275,-80.00449771825701
#f3190f,51.59979631095278,75.01732084172508,61.243738390550085
#b90b0d,38.87444127804589,61.86739642753414,48.20341224638967
#a61415,35.32935894073138,55.480350494791494,40.202920573276515
#10a251,58.5491370472332,-53.44520301443573,32.28469219588721
#068d62,51.802010138793435,-42.79659980428746,14.103974951549292
#084523,25.04164106500089,-27.586115630707287,15.386060602763918
#25a479,60.17922160608333,-43.97833493076364,12.875921487160102
#4dbce9,71.8414041576362,-17.71986937468123,-31.662919131335766
#2772e5,49.64151003220779,19.28872772486678,-64.62348307102795
#da38c2,53.63431277861119,74.74841839432634,-37.35603401845253
#a900b5,40.85239231781203,74.02444425247961,-50.5942578445794
#6c019d,28.496440801105834,60.96820355276175,-56.7118577149334
#ff80b3,69.43950292365001,53.61275499937385,-4.205764877729279
#fc4477,58.195897080034285,71.45604331271372,14.044693256581242
#f4f673,94.4765660972868,-17.546480963659185,61.76116081180349
#d4fcfb,96.23712042128412,-12.9408282018732,-3.794189520833391
#fcd4fe,89.36458987199612,21.003591821803003,-15.242353430784462
#f8f9b0,96.34574915916028,-11.3324027784667,35.03819226158584
#feddf6,91.43248571715331,15.534527315767654,-7.942336659889104
#dae4fe,90.57269098535203,1.7279127914577863,-13.709549824184354
#eafde7,97.43498406526815,-10.115941422739693,8.41632794092304
